status	path	expected_md5	actual_md5	expected_size	actual_size
CHANGED	blocks/_collection-link.liquid	52299082f7964a52b46ec29ee9dea61d	6ba8e53a4ddcf7ef7ef3520708ad3c37	4465	4463
CHANGED	blocks/_content-without-appearance.liquid	61c6d39aaf0f8762172cecad0d1ad36c	7b2ba4857ab54bba2c235fc6ee80415c	2061	2059
CHANGED	blocks/_content.liquid	59a2b4326e0d8516eb620129af5e5159	dfb3ea307cd1119b77338fbfca6d2ec5	2857	2855
CHANGED	blocks/_divider.liquid	d5fcfa7610089a201a106caaf5fa3c4d	4391ca7b516cca9cdf4ca313897da0be	1672	1670
CHANGED	blocks/_featured-blog-posts-card.liquid	4f4118a84519fe78cd84d962c948d486	23c140322c4ca618227b955674ed4d42	7887	7885
CHANGED	blocks/_featured-blog-posts-image.liquid	e1a7d3be7c21a4fcc8cab9eaeb1d88d1	728b10f3dbd11b38e2f4dfe4c44ff9a9	2720	2718
CHANGED	blocks/_featured-blog-posts-title.liquid	f39c9da1469378d579d10c03b343065c	98b26a3b1c99075b77220f0f21877eff	8499	8498
CHANGED	blocks/_featured-product-gallery.liquid	5b039752cafafb39a1247eb122047f7d	68ea940ff6ab4e482890c7f273dfa6ec	1852	1850
CHANGED	blocks/_featured-product-information-carousel.liquid	9307c1ead4f2f0a34de08c7b6f4eff90	833437d838732055aea70dbefe898c45	6111	6109
CHANGED	blocks/_featured-product-price.liquid	d9c8a743f5bf45d948f6b3f04a761acb	0335a191bd8c3ef37b56d9670b5f0ccb	2691	2689
CHANGED	blocks/_featured-product.liquid	46038938ca370446b159d1c9b7ad0036	f530fe65a3066030ba6ce720953d4649	1391	1389
CHANGED	blocks/_footer-social-icons.liquid	6783574d4a2754761aefe441de798636	3ab24d29e69598a76824341ee9fc636b	530	528
CHANGED	blocks/_header-logo.liquid	e09a0cc322ec23d4af10ad34b79cc8b5	52ad09411693b23de7be5de2265e8db1	5772	5729
CHANGED	blocks/_header-menu.liquid	61ca1061e29e8578600795a2a4d4ff5a	0ca4fd668deace6287e3359dee725dfe	30662	30661
CHANGED	blocks/_heading.liquid	e0ed1ca47ddb883f99ba31db24e89a54	7c1e01f311523fa35d5d494801c16602	6891	6889
CHANGED	blocks/_hotspot-product.liquid	ec8838fc084a08057b9d2e5888ab3cfa	5b687da2fcd0e8e4284d769640cc508e	3413	3411
CHANGED	blocks/_image.liquid	7fcf25e23c348583f17dd2c3137ac31c	e3784208783fab5d2ca32db90856c7c9	4593	4591
CHANGED	blocks/_inline-collection-title.liquid	137fc70a372347de14a03baab375b72f	1625adfbcd865942dfa5e86118b83a9b	4015	4014
CHANGED	blocks/_inline-text.liquid	3b4f4bf7d4325c4727660ab9d3f89298	7203fa5dc87797bbe314a398eb34bb40	3759	3757
CHANGED	blocks/_layered-slide.liquid	2c44ffd70aaec1e173da081d27eb12f5	69a7cfd6ba1ee3f6e82bc667e36415f5	10608	10606
CHANGED	blocks/_marquee.liquid	e7a57b298208278e91e07a61ec0a5c8d	13a707de22d700dceb4d20e2fea9ae55	4750	4748
CHANGED	blocks/_media-without-appearance.liquid	d38911df7ab2caf00a884614b735b7dd	dcb2d6265ada361be355e13d7fd89455	2340	2339
CHANGED	blocks/_product-card-gallery.liquid	12c1d050f402a16631380baa411285ce	fc3f5417c0e70253d02f1d6b53f7b792	4836	4834
CHANGED	blocks/_product-card-group.liquid	a8752209e382297366b472e144f050ac	744099f3792dfd2771c169664ec89aa8	11708	11706
CHANGED	blocks/_product-card.liquid	259da138b00f7110fefdc4063c98fa93	cc226c27882f0ffee06f9bb5462c184a	3946	3944
CHANGED	blocks/_product-details.liquid	d10b317cd8b98bffaccb79290e7b53c2	80e77f63ac80c2fd88bd8251258c75a9	18148	18146
CHANGED	blocks/_product-list-button.liquid	028d3c15e79bd16f7f1ab3e2292fd3da	6d806d2204784bd77ac5f520e32a4774	4050	4048
CHANGED	blocks/_product-list-content.liquid	f69b2db4d7c29b28a78bb8054f1adc13	7694ebe406330aa864db95cadef93913	10249	10247
CHANGED	blocks/_product-list-text.liquid	4dcf2fb8c38d3c65e7ca085539742ec6	dd67744e1ac3e381377c1f67a6260df2	8296	8294
CHANGED	blocks/_product-media-gallery.liquid	89ff49e1a2a023a1829882c1d7dd15a3	2b91692195060f9f1f45799187e04687	7816	7815
CHANGED	blocks/_search-input.liquid	51b3275bb73d540fb52b93079782f03b	8e99b4a1706ee0d6020410273c59ffba	7955	7953
CHANGED	blocks/_slide.liquid	27c900ea1145ee32056941e76476d509	2bf61be54d64d82e6da7f834106aa6f5	13664	13662
CHANGED	blocks/_social-link.liquid	c8a1fb6f19cddeb0f37cda2c0c0db0fa	aa32a2df9fbda070c4fdc8d18033ca57	3039	3037
CHANGED	blocks/accelerated-checkout.liquid	5cf129008c5d52b7d41356cb55b3e6bb	e837a2ff740ca8e98a358499e932113d	1243	1241
CHANGED	blocks/accordion.liquid	6f214e55135f307e75ca79928fb16cfe	59c63bfc65b03dc1a81b0800c82d06de	7188	7186
CHANGED	blocks/add-to-cart.liquid	53a64fd12a773a61b1d5da92a10249a4	4fbe4fb83e5c8d2861323b85cb057bff	2651	2649
CHANGED	blocks/button.liquid	0b20126e4fa7e0d53793056c5abbc91c	836a7c9693396d27cc2242ae81e03b29	3760	3759
CHANGED	blocks/buy-buttons.liquid	f941513a8302fbd4bfcff28c980c4d18	5003021d42597e0555ffea697b0d47d2	22156	22155
